stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
589_1,,,,,,,,0,589,,
590,,,,,,,,1,,,
590_1,,,,,,,,0,590,,
591,,,,,,,,1,,,
591_1,,,,,,,,0,591,,
592,,,,,,,,1,,,
592_1,,,,,,,,0,592,,
593,,,,,,,,1,,,
593_1,,,,,,,,0,593,,
594,,,,,,,,1,,,
594_1,,,,,,,,0,594,,
595,,,,,,,,1,,,
595_1,,,,,,,,0,595,,
596,,,,,,,,1,,,
596_1,,,,,,,,0,596,,
597,,,,,,,,1,,,
597_1,,,,,,,,0,597,,
598,,,,,,,,1,,,
598_1,,,,,,,,0,598,,
599,,,,,,,,1,,,
599_1,,,,,,,,0,599,,
600,,,,,,,,1,,,
600_1,,,,,,,,0,600,,
601,,,,,,,,1,,,
601_1,,,,,,,,0,601,,
602,,,,,,,,1,,,
602_1,,,,,,,,0,602,,
603,,,,,,,,1,,,
603_1,,,,,,,,0,603,,
604,,,,,,,,1,,,
604_1,,,,,,,,0,604,,
605,,,,,,,,1,,,
605_1,,,,,,,,0,605,,
606,,,,,,,,1,,,
606_1,,,,,,,,0,606,,
607,,,,,,,,1,,,
607_1,,,,,,,,0,607,,
608,,,,,,,,1,,,
608_1,,,,,,,,0,608,,
609,,,,,,,,1,,,
609_1,,,,,,,,0,609,,
610,,,,,,,,1,,,
610_1,,,,,,,,0,610,,
611,,,,,,,,1,,,
611_1,,,,,,,,0,611,,
612,,,,,,,,1,,,
612_1,,,,,,,,0,612,,
613,,,,,,,,1,,,
613_1,,,,,,,,0,613,,
614,,,,,,,,1,,,
614_1,,,,,,,,0,614,,
615,,,,,,,,1,,,
615_1,,,,,,,,0,615,,
616,,,,,,,,1,,,
616_1,,,,,,,,0,616,,
617,,,,,,,,1,,,
617_1,,,,,,,,0,617,,
618,,,,,,,,1,,,
618_1,,,,,,,,0,618,,
619,,,,,,,,1,,,
619_1,,,,,,,,0,619,,
620,,,,,,,,1,,,
